field,value
python,3.11.9
platform,Windows-10-10.0.26200-SP0
numpy,2.4.4
threads,1
seed,123
repeats,1
blas.0.user_api,blas
blas.0.internal_api,openblas
blas.0.num_threads,24
blas.0.prefix,libscipy_openblas
blas.0.version,0.3.31.188.0
blas.0.threading_layer,pthreads
blas.0.architecture,Haswell
blas.1.user_api,blas
blas.1.internal_api,openblas
blas.1.num_threads,24
blas.1.prefix,libscipy_openblas
blas.1.version,0.3.30
blas.1.threading_layer,pthreads
blas.1.architecture,Haswell
timing_definition,First realization = setup + batch average sampling per realization; fit/data loading and station generation excluded.
iox_definition,"Native structured IOX: period mixing followed by marginal PE spatial factors, zero nugget. Archived figure timings are historical and not overwritten."
